route,sample,venue,bridg_listed,bridg_compare_only,direct_out,direct_fixed_fee,direct_out_fee_adj,direct_cmp,gap_bps,bridg_fee_observed,gap_ex_bridg_fee_bps,gap_s,venue_status,direct_note,bridg_requestStart,bridg_quoteVisible,venue_requestStart,venue_quoteVisible,run_id
SOL->ETH,1,relay,99.704762,False,99.786475,,,99.786475,-8.17,0.05,-3.17,0.532,OK,,2026-09-23T08:49:32.082Z,2026-09-23T08:49:32.975Z,2026-09-23T08:49:32.082Z,2026-09-23T08:49:33.507Z,b7ce094d17c1
SOL->ETH,1,debridge,98.654123,False,99.920018,1.2928,98.627218,98.627218,2.69,0.05,7.69,0.552,OK,+1.2928 USDC charged on top of 100 input (subtracted),2026-09-23T08:49:32.082Z,2026-09-23T08:49:32.975Z,2026-09-23T08:49:32.082Z,2026-09-23T08:49:33.527Z,b7ce094d17c1
SOL->ETH,1,lifi,99.011699,False,99.786475,,,99.786475,-77.48,0.05,-72.48,2.582,OK,Jumper Best Return via Relay; max route 99.99,2026-09-23T08:49:32.082Z,2026-09-23T08:49:32.975Z,2026-09-23T08:49:32.083Z,2026-09-23T08:49:35.557Z,b7ce094d17c1
SOL->ETH,1,across,99.940005,False,99.99,,,99.99,-5.0,0.05,0.0,0.298,OK,,2026-09-23T08:49:32.082Z,2026-09-23T08:49:32.975Z,2026-09-23T08:49:32.082Z,2026-09-23T08:49:33.273Z,b7ce094d17c1
SOL->ETH,1,mayan,99.277913,True,99.0274,,,99.0274,25.05,0.05,30.05,0.255,OK,Swift v2; UI shows 4 dp,2026-09-23T08:49:32.082Z,2026-09-23T08:49:32.975Z,2026-09-23T08:49:32.081Z,2026-09-23T08:49:33.230Z,b7ce094d17c1
ETH->SOL,1,relay,99.689232,False,99.945561,,,99.945561,-25.63,0.05,-20.63,0.552,OK,,2026-09-23T08:49:56.913Z,2026-09-23T08:49:57.799Z,2026-09-23T08:49:56.914Z,2026-09-23T08:49:58.351Z,bd650a4c2241
ETH->SOL,1,debridge,98.765912,False,99.920018,1.1553,98.764718,98.764718,0.12,0.05,5.12,0.56,OK,+1.1553 USDC charged on top of 100 input (subtracted),2026-09-23T08:49:56.913Z,2026-09-23T08:49:57.799Z,2026-09-23T08:49:56.914Z,2026-09-23T08:49:58.359Z,bd650a4c2241
ETH->SOL,1,lifi,98.980963,False,99.945561,,,99.945561,-96.46,0.05,-91.46,1.909,OK,Jumper Best Return via Relay; max route 100.0,2026-09-23T08:49:56.913Z,2026-09-23T08:49:57.799Z,2026-09-23T08:49:56.915Z,2026-09-23T08:49:59.708Z,bd650a4c2241
ETH->SOL,1,across,,,99.99,,,99.99,,0.05,,0.075,OK,,2026-09-23T08:49:56.913Z,2026-09-23T08:49:57.799Z,2026-09-23T08:49:56.914Z,2026-09-23T08:49:57.874Z,bd650a4c2241
ETH->SOL,1,mayan,99.469758,False,99.519,,,99.519,-4.92,0.05,0.08,0.251,OK,Swift v2; UI shows 3 dp,2026-09-23T08:49:56.913Z,2026-09-23T08:49:57.799Z,2026-09-23T08:49:56.913Z,2026-09-23T08:49:58.050Z,bd650a4c2241
